name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-339,YES,0,2220,1573,2017,284,282,125
GENE-423,YES,0,53,44,49,1094,824,1306
GENE-707,YES,0,202,205,157,53,60,52
GENE-745,YES,0,20,26,18,201,240,284
GENE-811,YES,0,1,129,11,0,300,2
GENE-952,YES,0,134,141,126,189,226,216
GENE-1088,YES,0,57,55,81,26,38,15
GENE-1171,YES,0,66,76,66,847,671,665
GENE-1205,YES,0,55,62,80,276,231,271
GENE-1278,YES,0,1815,1763,1897,4761,5286,4881
GENE-1366,YES,0,39,55,17,63,38,73
GENE-1715,YES,0,13,13,20,89,127,94
GENE-1862,YES,0,1,1,4,39,46,39
GENE-1903,YES,0,144,69,57,581,1030,800
GENE-1962,YES,0,689,805,729,842,782,702
GENE-1964,YES,0,39,39,74,9,12,17
GENE-2179,YES,0,42,32,33,77,60,97
GENE-2273,YES,0,19,9,9,47,33,30
GENE-2354,YES,0,634,1403,967,129,157,139
GENE-2623,YES,0,59,66,46,146,133,120
GENE-2762,YES,0,43,72,128,74,118,98
GENE-2819,YES,0,20,15,24,10,10,10
GENE-2879,YES,0,17,25,21,4,5,6
GENE-2885,YES,0,229,163,124,43,124,92
GENE-2933,YES,0,506,335,538,208,221,241
GENE-2965,YES,0,425,393,409,242,196,168
GENE-2985,YES,0,21,23,21,109,89,96
GENE-3027,YES,0,22,19,40,343,318,295
GENE-3047,YES,0,1192,1004,1019,278,228,218
GENE-3070,YES,0,308,563,705,76,73,165
GENE-3186,YES,0,4511,3488,4671,5979,4323,4429
GENE-3220,YES,0,224,215,215,159,161,133
GENE-3367,YES,0,37,27,25,80,82,68
GENE-3377,YES,0,375,37,55,1,0,0
GENE-3419,YES,0,121,244,166,15,11,34
GENE-3460,YES,0,98,91,98,106,138,127
GENE-3485,YES,0,3,1,5,0,0,295
GENE-3509,YES,0,8,13,9,25,32,33
GENE-3510,YES,0,33,41,20,12,429,443
GENE-4048,YES,0,4,7,1,75,51,45
GENE-4146,YES,0,21,12,13,38,34,52
GENE-4154,YES,0,55,61,64,30,38,94
GENE-4292,YES,0,901,1047,1672,17,25,28
GENE-4679,YES,0,4,7,6,27,21,32
GENE-4836,YES,0,39,49,44,9,8,10
GENE-4846,YES,0,625,515,642,829,736,517
GENE-4936,YES,0,44,77,77,139,199,54
GENE-5064,YES,0,153,121,86,1412,2030,2236
GENE-5196,YES,0,10,21,18,18,6,17
GENE-5327,YES,0,43,40,62,40,51,48
GENE-5435,YES,0,10,6,4,17,16,11
GENE-5439,YES,0,248,332,226,531,542,535
GENE-5616,YES,0,103,117,139,123,99,76
GENE-5715,YES,0,73,54,88,10,11,3
GENE-5747,YES,0,286,283,236,11,15,13
GENE-5809,YES,0,15,14,10,45,64,60
GENE-5836,YES,0,479,382,427,162,86,112
GENE-5868,YES,0,1056,1136,977,171,144,217
GENE-5929,YES,0,471,424,342,11,14,16
GENE-6010,YES,0,207,169,196,151,144,169
GENE-6109,YES,0,237,178,217,393,471,478
GENE-6396,YES,0,771,657,820,6580,6100,6074
GENE-6453,YES,0,29,23,16,75,90,104
GENE-6608,YES,0,756,741,676,705,833,885
GENE-6623,YES,0,199,144,129,728,906,1142
GENE-6739,YES,0,28,45,38,2,2,3
GENE-7078,YES,0,1297,1185,619,184,91,166
GENE-7457,YES,0,1963,1109,1559,5715,8453,8161
GENE-7609,YES,0,65,63,68,37,27,35
GENE-7638,YES,0,257,418,971,25,24,14
GENE-7710,YES,0,267,195,209,639,585,607
GENE-7755,YES,0,2476,2667,2867,542,718,762
GENE-7811,YES,0,18,15,22,44,82,97
GENE-7829,YES,0,35,31,31,175,190,232
GENE-8006,YES,0,12,12,15,38,35,20
GENE-8054,YES,0,200,248,223,410,341,321
GENE-8069,YES,0,27,14,19,34,31,29
GENE-8071,YES,0,734,29,1519,916,74,228
GENE-8125,YES,0,30,19,22,2,0,1
GENE-8231,YES,0,215,261,279,328,222,333
GENE-8239,YES,0,0,0,0,20,13,29
GENE-8273,YES,0,28,30,36,84,61,47
GENE-8380,YES,0,200,347,201,76,40,52
GENE-8392,YES,0,60,63,57,16,10,13
GENE-8420,YES,0,3,4,4,147,66,57
GENE-8493,YES,0,9419,12092,13090,1770,1473,1623
GENE-8549,YES,0,240,248,243,2105,2526,1728
GENE-8689,YES,0,3,5,7,40,55,36
GENE-8703,YES,0,65,32,45,1747,2234,931
GENE-8761,YES,0,1248,1318,1413,560,474,594
GENE-8920,YES,0,1091,1161,1611,1159,1330,1469
GENE-9066,YES,0,274,345,346,17,24,26
GENE-9109,YES,0,45,55,79,30,23,13
GENE-9157,YES,0,47,49,51,80,179,156
GENE-9169,YES,0,552,1368,453,776,478,837
GENE-9253,YES,0,29,20,37,208,233,303
GENE-9419,YES,0,5,5,6,84,50,66
GENE-9669,YES,0,13,13,10,44,47,29
GENE-9886,YES,0,835,276,492,676,432,602
GENE-9928,YES,0,494,340,493,130,93,184
GENE-10014,YES,0,88,47,69,69,30,39
GENE-10214,YES,0,57,54,62,10,9,8
GENE-10250,YES,0,10324,8805,9068,1391,1522,1452
GENE-10270,YES,0,1159,828,526,10,13,2
GENE-10453,YES,0,1032,1729,2404,1481,2734,1624
GENE-10463,YES,0,16,0,26,159,41,15
GENE-10539,YES,0,472,380,431,1560,1732,2094
GENE-10583,YES,0,6,0,1,1237,1278,6
GENE-10652,YES,0,250,375,161,493,272,377
GENE-10680,YES,0,31,30,32,4,8,7
GENE-10780,YES,0,55,33,71,24,24,64
GENE-10838,YES,0,13,12,15,13,29,18
GENE-10843,YES,0,565,727,622,285,276,131
GENE-11043,YES,0,39,41,49,6,11,3
GENE-11322,YES,0,220,271,241,513,715,645
GENE-11389,YES,0,50,36,35,204,175,196
GENE-11591,YES,0,69402,103798,64686,23433,41067,30976
GENE-11733,YES,0,19,20,14,8,8,7
GENE-11881,YES,0,16,25,22,10,13,15
GENE-11883,YES,0,824,732,719,1605,1878,1923
GENE-12036,YES,0,435,370,461,191,128,140
GENE-12175,YES,0,215,123,191,179,255,518
GENE-12214,YES,0,3,8,2,29,23,19
GENE-12231,YES,0,100,140,106,837,771,749
GENE-12318,YES,0,441,709,564,60,91,37
GENE-12507,YES,0,34,64,21,74,67,95
GENE-12645,YES,0,39,2,12,6,4,4
GENE-12661,YES,0,310,211,329,2998,3250,2696
GENE-12828,YES,0,157,238,226,438,357,504
GENE-12891,YES,0,23,15,15,233,265,259
GENE-12995,YES,0,323,365,404,80,101,108
GENE-13051,YES,0,31,52,27,19,7,14
GENE-13079,YES,0,146,118,188,51,44,37
GENE-13258,YES,0,84,81,78,2309,2013,2286
GENE-13272,YES,0,671,1007,889,916,867,556
GENE-13345,YES,0,214,164,159,348,282,296
GENE-13559,YES,0,107,129,114,84,145,117
GENE-13692,YES,0,17,12,8,8,16,16
GENE-13703,YES,0,673,406,755,140,150,101
GENE-13707,YES,0,73,69,60,182,165,171
GENE-13716,YES,0,536,615,630,518,438,542
GENE-13742,YES,0,3619,4574,3632,599,860,743
GENE-13749,YES,0,1,1,2,31,39,37
GENE-13854,YES,0,223,186,192,60,38,39
GENE-13856,YES,0,163,176,224,75,44,53
GENE-13938,YES,0,239,177,156,40,35,26
GENE-14041,YES,0,124,102,107,46,65,58
GENE-14226,YES,0,6,9,12,4,17,18
GENE-14242,YES,0,42,48,42,78,74,91
GENE-14280,YES,0,1758,866,3529,2020,877,2380
GENE-14462,YES,0,246,309,77,194,187,319
GENE-14600,YES,0,335,303,176,3415,2144,1963
GENE-14603,YES,0,29,11,17,107,77,75
GENE-14615,YES,0,16,20,12,15,20,13
GENE-14650,YES,0,2,5,6,19,38,26
GENE-14654,YES,0,61,48,73,27,30,20
GENE-14677,YES,0,221,269,258,238,285,258
GENE-14682,YES,0,2465,4358,3428,9671,8336,10460
GENE-15217,YES,0,49,29,24,466,400,400
GENE-15558,YES,0,493,545,557,236,194,207
GENE-15607,YES,0,99,118,147,19,34,31
GENE-15610,YES,0,856,624,863,9,8,13
GENE-15614,YES,0,8,7,5,54,65,68
GENE-15634,YES,0,83,75,81,304,272,264
GENE-15874,YES,0,5,5,8,29,34,25
GENE-15931,YES,0,1235,834,841,350,435,450
GENE-16010,YES,0,35,38,26,10,7,10
GENE-16058,YES,0,3956,3052,5065,2335,1068,3111
GENE-16060,YES,0,600,887,1118,717,734,565
GENE-16076,YES,0,32,30,31,4,4,4
GENE-16144,YES,0,16,11,26,20,30,10
GENE-16164,YES,0,100,85,112,131,105,129
GENE-16233,YES,0,314,309,317,49,54,72
GENE-16364,YES,0,343,293,123,1100,1098,2463
GENE-16370,YES,0,2159,2452,1949,635,439,559
GENE-16529,YES,0,1152,2120,1672,2618,3652,3656
GENE-16548,YES,0,205,246,263,23,57,13
GENE-16733,YES,0,150,132,151,178,172,178
GENE-16846,YES,0,33,25,13,0,1,1
GENE-16873,YES,0,1041,973,870,1444,1488,1529
GENE-16921,YES,0,69,75,60,19,19,10
GENE-17005,YES,0,13,9,11,23,15,22
