name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-13258,YES,2284,81,2203,27.157,4.8,1.3e-08,1.0e-04,1e-04,0,84,81,78,2313,2002,2294
GENE-15610,YES,791.3,781.3,10,0.013,-6.3,1.1e-07,5.0e-04,2e-04,0,854,624,866,9,8,13
GENE-5747,YES,281.3,268.3,13,0.049,-4.4,1.3e-07,6.0e-04,2e-04,0,285,283,237,11,15,13
GENE-5929,YES,426,412.3,13.7,0.033,-4.9,1.7e-07,8.0e-04,2e-04,0,470,424,343,11,14,16
GENE-6396,YES,7001,749.7,6251.3,8.34,3.1,2.2e-07,1.0e-03,2e-04,0,769,657,823,6591,6067,6096
GENE-10250,YES,10853.3,9398.7,1454.7,0.155,-2.7,2.5e-07,1.2e-03,2e-04,0,10296,8802,9098,1393,1514,1457
GENE-17463,YES,3432.3,124,3308.3,26.652,4.7,2.9e-07,1.4e-03,2e-04,0,111,149,112,3024,2781,4120
GENE-1171,YES,796.7,69.3,727.3,10.478,3.4,3.3e-07,1.6e-03,2e-04,0,66,76,66,848,667,667
GENE-423,YES,1124,48.7,1075.3,22.042,4.5,3.5e-07,1.7e-03,2e-04,0,53,44,49,1096,819,1311
GENE-13749,YES,37,1.3,35.7,24.533,4.6,4.7e-07,2.2e-03,2e-04,0,1,1,2,31,39,37
GENE-18107,YES,4322.3,529.3,3793,7.163,2.8,5.0e-07,2.4e-03,2e-04,0,553,487,548,3264,4075,4040
GENE-12891,YES,270,17.7,252.3,14.19,3.8,7.0e-07,3.3e-03,3e-04,0,23,15,15,233,264,260
GENE-8549,YES,2361.7,243.7,2118,8.689,3.1,7.0e-07,3.4e-03,3e-04,0,239,248,244,2108,2512,1734
GENE-9066,YES,344,321.7,22.3,0.07,-3.8,7.4e-07,3.5e-03,3e-04,0,273,345,347,17,24,26
GENE-4292,YES,1231.3,1208,23.3,0.019,-5.7,1.1e-06,5.1e-03,3e-04,0,899,1047,1678,17,25,28
GENE-8493,YES,13160.7,11538.3,1622.3,0.141,-2.8,1.2e-06,5.9e-03,4e-04,0,9393,12088,13134,1773,1465,1629
GENE-12661,YES,3263.7,283.3,2980.3,10.513,3.4,1.3e-06,6.2e-03,4e-04,0,309,211,330,3003,3232,2706
GENE-17480,YES,206,185.3,20.7,0.112,-3.2,1.5e-06,7.0e-03,4e-04,0,195,214,147,21,21,20
GENE-745,YES,263,21.3,241.7,11.269,3.5,1.5e-06,7.3e-03,4e-04,0,20,26,18,201,239,285
GENE-12231,YES,901,115.3,785.7,6.805,2.8,1.6e-06,7.8e-03,4e-04,0,100,140,106,838,767,752
GENE-18377,YES,117.3,111,6.3,0.058,-4.1,2.2e-06,1.1e-02,5e-04,0,95,117,121,5,9,5
GENE-7829,YES,231.3,32.3,199,6.136,2.6,2.3e-06,1.1e-02,5e-04,0,35,31,31,175,189,233
GENE-18542,YES,41.7,3.3,38.3,11.118,3.5,2.4e-06,1.1e-02,5e-04,0,3,4,3,38,40,37
GENE-5064,YES,2012.3,120,1892.3,15.762,4,3.5e-06,1.7e-02,7e-04,0,153,121,86,1414,2019,2244
GENE-17313,YES,1918.7,412.3,1506.3,3.653,1.9,3.8e-06,1.8e-02,7e-04,0,451,382,404,1564,1547,1408
GENE-18295,YES,229.3,202.3,27,0.134,-2.9,4.0e-06,1.9e-02,7e-04,0,214,177,216,34,25,22
GENE-18032,YES,159.3,20.7,138.7,6.675,2.7,4.0e-06,1.9e-02,7e-04,0,21,24,17,119,146,151
GENE-5868,YES,1233.7,1056.3,177.3,0.168,-2.6,4.3e-06,2.1e-02,7e-04,0,1053,1136,980,171,143,218
GENE-3047,YES,1313,1071.7,241.3,0.225,-2.2,4.5e-06,2.1e-02,7e-04,0,1189,1004,1022,278,227,219
GENE-10214,YES,66.7,57.7,9,0.158,-2.7,4.8e-06,2.3e-02,7e-04,0,57,54,62,10,9,8
GENE-16233,YES,371.7,313.3,58.3,0.187,-2.4,4.8e-06,2.3e-02,7e-04,0,313,309,318,49,54,72
GENE-17833,YES,2577.7,281,2296.7,8.167,3,4.9e-06,2.3e-02,7e-04,0,210,301,332,2164,2749,1977
GENE-15614,YES,69,6.7,62.3,9.197,3.2,5.1e-06,2.4e-02,7e-04,0,8,7,5,54,65,68
GENE-13742,YES,4675.3,3941.7,733.7,0.186,-2.4,5.5e-06,2.6e-02,7e-04,0,3609,4572,3644,600,855,746
GENE-15634,YES,359.7,79.7,280,3.51,1.8,5.6e-06,2.6e-02,7e-04,0,83,75,81,304,271,265
