Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
atrazine degradation,3 of 9,2.1198181677066404E-4,0.01992629077644242,0,0,35.71557971014493,302.1184479568586,APOBEC3C;APOBEC3G;APOBEC3B
mapk signaling pathway,9 of 248,0.008277899321076084,0.2970031321298393,0,0,2.7171548117154813,13.026491345371044,CACNA1I;MAPK11;RAC2;MAPK1;MAPK8IP2;PLA2G6;CACNG2;CRKL;ATF4
sphingolipid metabolism,3 of 36,0.01365491401010474,0.2970031321298393,0,0,6.484848484848484,27.843707447838216,ARSA;GAL3ST1;CERK
vegf signaling pathway,4 of 68,0.015022081749506172,0.2970031321298393,0,0,4.4675,18.75561059044252,MAPK11;RAC2;MAPK1;PLA2G6
glycosphingolipid biosynthesis globoseries,2 of 14,0.015798038943076558,0.2970031321298393,0,0,11.858604091456076,49.18794179874158,NAGA;A4GALT
fc epsilon ri signaling pathway,4 of 74,0.019902074486787293,0.30847803789045347,0,0,4.0833246753246755,15.994102257905363,MAPK11;RAC2;MAPK1;PLA2G6
cysteine metabolism,2 of 17,0.02297176877907632,0.30847803789045347,0,0,9.485439229843562,35.79320307317187,MPST;SULT4A1
phenylalanine metabolism,2 of 24,0.04374693014448658,0.39103051139366984,0,0,6.46504758779127,20.231292172780428,PNPLA3;MIF
gnrh signaling pathway,4 of 96,0.04546659792061035,0.39103051139366984,0,0,3.103399209486166,9.591915935815617,MAPK11;MAPK1;PLA2G6;ATF4
glycerophospholipid metabolism,3 of 62,0.055663057089852586,0.39103051139366984,0,0,3.622328666175387,10.462873941387507,PNPLA3;PLA2G6;PISD
cell cycle,4 of 104,0.057838540754581315,0.39103051139366984,0,0,2.8539636363636363,8.134081561509396,CHEK2;EP300;MCM5;YWHAH
long term potentiation,3 of 67,0.06708338514847798,0.39103051139366984,0,0,3.338485054347826,9.01998194693672,EP300;MAPK1;ATF4
vitamin b6 metabolism,1 of 5,0.0678372591404378,0.39103051139366984,0,0,17.73111510791367,47.70811298418376,PDXP
